ticker,name,sector,cap
KFINTECH.NS,Kfin Technologies Ltd.,Financial Services,Small
KIRLOSENG.NS,Kirloskar Oil Eng Ltd.,Capital Goods,Small
KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,Financial Services,Large
KIMS.NS,Krishna Institute of Medical Sciences Ltd.,Healthcare,Small
LTF.NS,L&T Finance Ltd.,Financial Services,Mid
LTTS.NS,L&T Technology Services Ltd.,Information Technology,Mid
LGEINDIA.NS,LG Electronics India Ltd.,Consumer Durables,Mid
LICHSGFIN.NS,LIC Housing Finance Ltd.,Financial Services,Mid
LTFOODS.NS,LT Foods Ltd.,Fast Moving Consumer Goods,Small
LTM.NS,LTM Ltd.,Information Technology,Large
LT.NS,Larsen & Toubro Ltd.,Construction,Large
LATENTVIEW.NS,Latent View Analytics Ltd.,Information Technology,Small
LAURUSLABS.NS,Laurus Labs Ltd.,Healthcare,Mid
THELEELA.NS,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,Small
LEMONTREE.NS,Lemon Tree Hotels Ltd.,Consumer Services,Small
LENSKART.NS,Lenskart Solutions Ltd.,Consumer Services,Mid
LICI.NS,Life Insurance Corporation of India,Financial Services,Mid
LINDEINDIA.NS,Linde India Ltd.,Chemicals,Mid
LLOYDSME.NS,Lloyds Metals And Energy Ltd.,Metals & Mining,Mid
LODHA.NS,Lodha Developers Ltd.,Realty,Large
LUPIN.NS,Lupin Ltd.,Healthcare,Mid
MMTC.NS,MMTC Ltd.,Services,Small
MRF.NS,MRF Ltd.,Automobile and Auto Components,Mid
MGL.NS,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,Small
M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,Financial Services,Mid
M&M.NS,Mahindra & Mahindra Ltd.,Automobile and Auto Components,Large
MANAPPURAM.NS,Manappuram Finance Ltd.,Financial Services,Small
MRPL.NS,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,Small
MANKIND.NS,Mankind Pharma Ltd.,Healthcare,Mid
MARICO.NS,Marico Ltd.,Fast Moving Consumer Goods,Mid
MARUTI.NS,Maruti Suzuki India Ltd.,Automobile and Auto Components,Large
MFSL.NS,Max Financial Services Ltd.,Financial Services,Mid
MAXHEALTH.NS,Max Healthcare Institute Ltd.,Healthcare,Large
MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,Large
MEESHO.NS,Meesho Ltd.,Consumer Services,Small
MINDACORP.NS,Minda Corporation Ltd.,Automobile and Auto Components,Small
MSUMI.NS,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,Small
MOTILALOFS.NS,Motilal Oswal Financial Services Ltd.,Financial Services,Mid
MPHASIS.NS,MphasiS Ltd.,Information Technology,Mid
MCX.NS,Multi Commodity Exchange of India Ltd.,Financial Services,Mid
MUTHOOTFIN.NS,Muthoot Finance Ltd.,Financial Services,Large
NATCOPHARM.NS,NATCO Pharma Ltd.,Healthcare,Small
NBCC.NS,NBCC (India) Ltd.,Construction,Small
NCC.NS,NCC Ltd.,Construction,Small
NHPC.NS,NHPC Ltd.,Power,Mid
NLCINDIA.NS,NLC India Ltd.,Power,Mid
NMDC.NS,NMDC Ltd.,Metals & Mining,Mid
NSLNISP.NS,NMDC Steel Ltd.,Metals & Mining,Small
NTPCGREEN.NS,NTPC Green Energy Ltd.,Power,Mid
NTPC.NS,NTPC Ltd.,Power,Large
NH.NS,Narayana Hrudayalaya Ltd.,Healthcare,Small
NATIONALUM.NS,National Aluminium Co. Ltd.,Metals & Mining,Mid
NAVA.NS,Nava Ltd.,Power,Small
NAVINFLUOR.NS,Navin Fluorine International Ltd.,Chemicals,Small
NESTLEIND.NS,Nestle India Ltd.,Fast Moving Consumer Goods,Large
NETWEB.NS,Netweb Technologies India Ltd.,Information Technology,Small
NEULANDLAB.NS,Neuland Laboratories Ltd.,Healthcare,Small
NEWGEN.NS,Newgen Software Technologies Ltd.,Information Technology,Small
NAM-INDIA.NS,Nippon Life India Asset Management Ltd.,Financial Services,Mid
NIVABUPA.NS,Niva Bupa Health Insurance Company Ltd.,Financial Services,Small
NUVAMA.NS,Nuvama Wealth Management Ltd.,Financial Services,Small
NUVOCO.NS,Nuvoco Vistas Corporation Ltd.,Construction Materials,Small
OBEROIRLTY.NS,Oberoi Realty Ltd.,Realty,Mid
ONGC.NS,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,Large
OIL.NS,Oil India Ltd.,Oil Gas & Consumable Fuels,Mid
OLAELEC.NS,Ola Electric Mobility Ltd.,Automobile and Auto Components,Small
OLECTRA.NS,Olectra Greentech Ltd.,Automobile and Auto Components,Small
PAYTM.NS,One 97 Communications Ltd.,Financial Services,Mid
ONESOURCE.NS,Onesource Specialty Pharma Ltd.,Healthcare,Small
OFSS.NS,Oracle Financial Services Software Ltd.,Information Technology,Mid
POLICYBZR.NS,PB Fintech Ltd.,Financial Services,Mid
PCBL.NS,PCBL Chemical Ltd.,Chemicals,Small
PGEL.NS,PG Electroplast Ltd.,Consumer Durables,Small
PIIND.NS,PI Industries Ltd.,Chemicals,Mid
PNBHOUSING.NS,PNB Housing Finance Ltd.,Financial Services,Small
PTCIL.NS,PTC Industries Ltd.,Capital Goods,Small
PVRINOX.NS,PVR INOX Ltd.,Media Entertainment & Publication,Small
PAGEIND.NS,Page Industries Ltd.,Textiles,Mid
PARADEEP.NS,Paradeep Phosphates Ltd.,Chemicals,Small
PATANJALI.NS,Patanjali Foods Ltd.,Fast Moving Consumer Goods,Mid
PERSISTENT.NS,Persistent Systems Ltd.,Information Technology,Mid
PETRONET.NS,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,Mid
PFIZER.NS,Pfizer Ltd.,Healthcare,Small
PHOENIXLTD.NS,Phoenix Mills Ltd.,Realty,Mid
PWL.NS,Physicswallah Ltd.,Consumer Services,Small
PIDILITIND.NS,Pidilite Industries Ltd.,Chemicals,Large
PINELABS.NS,Pine Labs Ltd.,Financial Services,Small
PIRAMALFIN.NS,Piramal Finance Ltd.,Financial Services,Small
PPLPHARMA.NS,Piramal Pharma Ltd.,Healthcare,Small
POLYMED.NS,Poly Medicure Ltd.,Healthcare,Small
POLYCAB.NS,Polycab India Ltd.,Capital Goods,Mid
